AÑO,O,D,OPERACIÓN,TIPO DE CARGA,PRODUCTO,CARGA (TON/AÑO),ORIGEN_PROVINCIA,DESTINO_PROVINCIA,ORIGEN_REGION,DESTINO_REGION
2013,5,7,Exportación,NO CONTENEDOR,Alimentos y bebidas,"14,6",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,7,Exportación,CONTENEDOR,Otros productos silvoagropecuarios,"3.919,8",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,7,Exportación,CONTENEDOR,Otros productos,"769,5",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,7,Exportación,NO CONTENEDOR,Otros productos,"2.449,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,7,Exportación,CONTENEDOR,Manufacturas,"892,6",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,7,Exportación,NO CONTENEDOR,Manufacturas,8,Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,7,Exportación,CONTENEDOR,Productos químicos,"390,7",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,7,Exportación,NO CONTENEDOR,Productos químicos,"8,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,7,Exportación,CONTENEDOR,Materiales de Construcción,"6.516,3",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,7,Exportación,NO CONTENEDOR,Materiales de Construcción,"257,5",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,5,9,Exportación,CONTENEDOR,Alimentos y bebidas,"1.235,5",Valparaíso,San Antonio,Valparaíso,Valparaíso
2013,5,9,Exportación,NO CONTENEDOR,Alimentos y bebidas,"40,2",Valparaíso,San Antonio,Valparaíso,Valparaíso
2013,5,9,Exportación,CONTENEDOR,Frutas,"489,8",Valparaíso,San Antonio,Valparaíso,Valparaíso
2013,5,9,Exportación,NO CONTENEDOR,Frutas,"24,7",Valparaíso,San Antonio,Valparaíso,Valparaíso
2013,5,9,Exportación,CONTENEDOR,Otros productos silvoagropecuarios,"644,5",Valparaíso,San Antonio,Valparaíso,Valparaíso
2013,5,9,Exportación,CONTENEDOR,Otros productos,"1.130,7",Valparaíso,San Antonio,Valparaíso,Valparaíso
2013,5,9,Exportación,CONTENEDOR,Productos químicos,"3.947,7",Valparaíso,San Antonio,Valparaíso,Valparaíso
2013,6,2,Importación,CONTENEDOR,Alimentos y bebidas,5.092,Valparaíso,San Felipe,Valparaíso,Valparaíso
2013,6,2,Importación,NO CONTENEDOR,Alimentos y bebidas,"2,5",Valparaíso,San Felipe,Valparaíso,Valparaíso
2013,6,2,Importación,CONTENEDOR,Frutas,"925,8",Valparaíso,San Felipe,Valparaíso,Valparaíso
2013,6,2,Importación,NO CONTENEDOR,Frutas,"0,5",Valparaíso,San Felipe,Valparaíso,Valparaíso
2013,6,2,Importación,CONTENEDOR,Materiales de Construcción,"2.427,6",Valparaíso,San Felipe,Valparaíso,Valparaíso
2013,6,2,Importación,NO CONTENEDOR,Materiales de Construcción,"9,5",Valparaíso,San Felipe,Valparaíso,Valparaíso
2013,6,3,Importación,CONTENEDOR,Alimentos y bebidas,4.918,Valparaíso,Quillota,Valparaíso,Valparaíso
2013,6,3,Importación,NO CONTENEDOR,Alimentos y bebidas,"7,1",Valparaíso,Quillota,Valparaíso,Valparaíso
2013,6,3,Importación,CONTENEDOR,Frutas,"1.791,2",Valparaíso,Quillota,Valparaíso,Valparaíso
2013,6,3,Importación,NO CONTENEDOR,Frutas,1,Valparaíso,Quillota,Valparaíso,Valparaíso
2013,6,3,Importación,CONTENEDOR,Otros productos,"2.558,4",Valparaíso,Quillota,Valparaíso,Valparaíso
2013,6,3,Importación,NO CONTENEDOR,Otros productos,"134,1",Valparaíso,Quillota,Valparaíso,Valparaíso
2013,6,3,Importación,CONTENEDOR,Maquinarias y vehículos,"3.203,2",Valparaíso,Quillota,Valparaíso,Valparaíso
2013,6,3,Importación,NO CONTENEDOR,Maquinarias y vehículos,"249,2",Valparaíso,Quillota,Valparaíso,Valparaíso
2013,6,3,Importación,CONTENEDOR,Materiales de Construcción,"6.808,1",Valparaíso,Quillota,Valparaíso,Valparaíso
2013,6,3,Importación,NO CONTENEDOR,Materiales de Construcción,"4.757,2",Valparaíso,Quillota,Valparaíso,Valparaíso
2013,6,4,Importación,CONTENEDOR,Manufacturas,"3.106,4",Valparaíso,Los Andes,Valparaíso,Valparaíso
2013,6,4,Importación,CONTENEDOR,Maquinarias y vehículos,"802,4",Valparaíso,Los Andes,Valparaíso,Valparaíso
2013,6,4,Importación,NO CONTENEDOR,Maquinarias y vehículos,9.816,Valparaíso,Los Andes,Valparaíso,Valparaíso
2013,6,5,Importación,CONTENEDOR,Cobre y minerales metálicos,"11.975,2",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,5,Importación,NO CONTENEDOR,Cobre y minerales metálicos,"0,8",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,5,Importación,CONTENEDOR,Manufacturas,"13.478,8",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,5,Importación,NO CONTENEDOR,Manufacturas,"3.967,8",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,5,Importación,CONTENEDOR,Productos químicos,"9.105,1",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,5,Importación,NO CONTENEDOR,Productos químicos,"7,7",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,5,Importación,CONTENEDOR,Materiales de Construcción,9.709,Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,5,Importación,NO CONTENEDOR,Materiales de Construcción,"4.052,6",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,CONTENEDOR,Alimentos y bebidas,"103.865,2",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,NO CONTENEDOR,Alimentos y bebidas,"113,2",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,CONTENEDOR,Frutas,"4.396,1",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,NO CONTENEDOR,Frutas,"2,4",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,CONTENEDOR,Otros productos silvoagropecuarios,"7.620,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,NO CONTENEDOR,Otros productos silvoagropecuarios,"9,8",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,CONTENEDOR,Cobre y minerales metálicos,"1.702,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,NO CONTENEDOR,Cobre y minerales metálicos,"0,1",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,CONTENEDOR,Otros productos,22.658,Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,NO CONTENEDOR,Otros productos,"994,6",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,CONTENEDOR,Manufacturas,"37.945,6",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,NO CONTENEDOR,Manufacturas,"4.553,1",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,CONTENEDOR,Maquinarias y vehículos,"31.119,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,NO CONTENEDOR,Maquinarias y vehículos,"3.779,3",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,CONTENEDOR,Productos químicos,"26.744,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,NO CONTENEDOR,Productos químicos,"365,3",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,CONTENEDOR,Materiales de Construcción,"136.723,6",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,7,Importación,NO CONTENEDOR,Materiales de Construcción,"457.422,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,10,Importación,CONTENEDOR,Alimentos y bebidas,2.414,Valparaíso,San Antonio,Valparaíso,Valparaíso
2013,6,10,Importación,NO CONTENEDOR,Alimentos y bebidas,"3,5",Valparaíso,San Antonio,Valparaíso,Valparaíso
2013,6,12,Importación,CONTENEDOR,Alimentos y bebidas,4.828,Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,12,Importación,NO CONTENEDOR,Alimentos y bebidas,"6,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,12,Importación,CONTENEDOR,Otros productos silvoagropecuarios,"3.801,3",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,12,Importación,NO CONTENEDOR,Otros productos silvoagropecuarios,"9,8",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,12,Importación,CONTENEDOR,Otros productos,"7.534,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,12,Importación,NO CONTENEDOR,Otros productos,"394,8",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,12,Importación,CONTENEDOR,Manufacturas,"6.212,9",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,12,Importación,CONTENEDOR,Maquinarias y vehículos,"31.429,8",Valparaíso,Valparaíso,Valparaíso,Valparaíso
2013,6,12,Importación,NO CONTENEDOR,Maquinarias y vehículos,"2.512,7",Valparaíso,Valparaíso,Valparaíso,Valparaíso
